BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,Allowed,VELPACK G1 automated blister packaging system for pharmaceutical manufacturing. Modular design with optional Track & Trace film and service components.,/resource/VEL_VELPACK_G1_BDL,Hardware,true,true,false,VELPACK G1 Packaging System,VEL-PACK-G1-BDL,,Bundle,VEL-PACK-G1-BDL,Bundle,
VEL_INDUSTRIAL_HW,false,NotAllowed,VELPACK G1 base machine unit — main chassis with sealing and forming stations. IPC21 controller included.,/resource/VEL_VELPACK_G1_BASE,Hardware,true,true,true,VELPACK G1 Base Machine,VEL-PACK-G1-BASE,,Configurable,VEL-PACK-G1-BASE,,
VEL_INDUSTRIAL_HW,false,NotAllowed,Standard Track & Trace module for lot and batch visibility. IPC-21 compliant. For non-FDA regulated markets.,/resource/VEL_VELPACK_G1_TT,Hardware,true,true,true,Track & Trace Module — Standard,VEL-PACK-G1-TT,,Configurable,VEL-PACK-G1-TT,,
VEL_INDUSTRIAL_HW,false,NotAllowed,Professional serialization-grade Track & Trace module. FDA 21 CFR Part 11 and EU Falsified Medicines Directive compliant. Required for regulated pharma lines.,/resource/VEL_VELPACK_G1_TT_PRO,Hardware,true,true,true,Track & Trace Module — Professional,VEL-PACK-G1-TT-PRO,,Configurable,VEL-PACK-G1-TT-PRO,,
,false,NotAllowed,Pharmaceutical Alu-PVC forming film for standard blister packaging. Monthly supply subscription or one-time bulk purchase.,/resource/VEL_PACK_FILM,Hardware,true,true,true,Pharma Film Alu-PVC,VEL-PACK-FILM,,Configurable,VEL-PACK-FILM,,
,false,NotAllowed,Cold-Form Alu-Alu packaging film for moisture and oxygen-sensitive pharmaceutical products.,/resource/VEL_PACK_FILM_CF,Hardware,true,true,true,Pharma Film Cold-Form (Alu-Alu),VEL-PACK-FILM-CF,,Configurable,VEL-PACK-FILM-CF,,
,false,NotAllowed,Child-resistant blister packaging film compliant with ISO 8317 for pediatric and OTC pharmaceutical lines.,/resource/VEL_PACK_FILM_CR,Hardware,true,true,true,Pharma Film Child-Resistant,VEL-PACK-FILM-CR,,Configurable,VEL-PACK-FILM-CR,,
,false,NotAllowed,Professional on-site installation and commissioning of the VELPACK G1 system by Velantis-certified technicians.,/resource/VEL_SRV_INSTALL_PKG,Services,true,true,false,VELPACK Installation Service,VEL-SRV-INSTALL-PKG,,,VEL-SRV-INSTALL-PKG,,
,false,NotAllowed,Standard preventive maintenance plan — 2 annual site visits plus remote diagnostics for VELPACK G1 systems.,/resource/VEL_SRV_MAINT_PKG,Services,true,true,false,VELPACK Maintenance — Standard,VEL-SRV-MAINT-PKG,,,VEL-SRV-MAINT-PKG,,
,false,NotAllowed,Premium 24/7 maintenance plan — unlimited call-outs 4-hour response SLA plus 2 annual planned maintenance visits for VELPACK G1.,/resource/VEL_SRV_MAINT_PKG_PREM,Services,true,true,false,VELPACK Maintenance — Premium,VEL-SRV-MAINT-PKG-PREM,,,VEL-SRV-MAINT-PKG-PREM,,
,false,NotAllowed,Extended warranty coverage for VELPACK G1 beyond standard 12-month manufacturer warranty. Parts and labour included.,/resource/VEL_SRV_WARRANTY_PKG,Services,true,true,false,Extended Warranty (VELPACK G1),VEL-SRV-WARRANTY-PKG,,,VEL-SRV-WARRANTY-PKG,,
,false,NotAllowed,VelPackMgr batch control and recipe management software for VELPACK G1. Cloud-connected MES integration.,/resource/VEL_SW_PACK_MGR,Software,true,true,false,VelPackMgr Batch Control Software,VEL-SW-PACK-MGR,,,VEL-SW-PACK-MGR,,
,false,Allowed,PrecisionBeam+ fiber laser cutting system. Configurable frame size (1530/2040/2060) and laser power (4/10/15 kW).,/resource/VEL_PRECISION_LSR_BDL,Hardware,true,true,false,PrecisionBeam+ Laser Cutting System,VEL-LSR-BDL,,Bundle,VEL-LSR-BDL,Bundle,
VEL_INDUSTRIAL_HW,false,NotAllowed,PrecisionBeam+ 1530 machine frame — compact format for sheet metal up to 1500×3000 mm.,/resource/VEL_PRECISION_1530,Hardware,true,true,true,PrecisionBeam+ 1530 Machine Frame,VEL-LSR-1530,,Configurable,VEL-LSR-1530,,
VEL_INDUSTRIAL_HW,false,NotAllowed,PrecisionBeam+ 2040 machine frame — mid-range format for sheet metal up to 2000×4000 mm.,/resource/VEL_PRECISION_2040,Hardware,true,true,true,PrecisionBeam+ 2040 Machine Frame,VEL-LSR-2040,,Configurable,VEL-LSR-2040,,
VEL_INDUSTRIAL_HW,false,NotAllowed,PrecisionBeam+ 2060 machine frame — large format for sheet metal up to 2000×6000 mm with dual-pallet exchange.,/resource/VEL_PRECISION_2060,Hardware,true,true,true,PrecisionBeam+ 2060 Machine Frame,VEL-LSR-2060,,Configurable,VEL-LSR-2060,,
VEL_INDUSTRIAL_HW,false,NotAllowed,4 kW fiber laser source module — optimised for thin-gauge stainless steel and aluminium.,/resource/VEL_LSR_SRC_4KW,Hardware,true,true,true,4 kW Fiber Laser Source Module,VEL-LSR-SRC-4KW,,Configurable,VEL-LSR-SRC-4KW,,
VEL_INDUSTRIAL_HW,false,NotAllowed,10 kW fiber laser source module — for medium-gauge carbon steel and mixed-material cutting.,/resource/VEL_LSR_SRC_10KW,Hardware,true,true,true,10 kW Fiber Laser Source Module,VEL-LSR-SRC-10KW,,Configurable,VEL-LSR-SRC-10KW,,
VEL_INDUSTRIAL_HW,false,NotAllowed,15 kW ultra-high power fiber laser source module — for heavy gauge steel and high-throughput production environments.,/resource/VEL_LSR_SRC_15KW,Hardware,true,true,true,15 kW Fiber Laser Source Module,VEL-LSR-SRC-15KW,,Configurable,VEL-LSR-SRC-15KW,,
VEL_INDUSTRIAL_HW,false,NotAllowed,Compact server automation module for lights-out production. Includes nesting software and automated load/unload interface.,/resource/VEL_LSR_AUTO_CS,Hardware,true,true,true,Compact Server Automation Module,VEL-LSR-AUTO-CS,,Configurable,VEL-LSR-AUTO-CS,,
